TRADEDATE,sber,mgnt,gold,eurusd,sber_VaR_5_param,mgnt_VaR_5_param,sber_VaR_5_hist,mgnt_VaR_5_hist,gold_VaR_5_param,eurusd_VaR_5_param,gold_VaR_5_hist,eurusd_VaR_5_hist,sber_ear_hist,mgnt_ear_hist,sber_ear_param,mgnt_ear_param,gold_ear_hist,eurusd_ear_hist,gold_ear_param,eurusd_ear_param,sber_raroc_hist,mgnt_raroc_hist,sber_raroc_param,mgnt_raroc_param,gold_raroc_hist,eurusd_raroc_hist,gold_raroc_param,eurusd_raroc_param
2016-09-20,0.004295885247997413,0.0010633671068220622,0.001050300345426846,-0.0018812995470327773,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-21,0.00913431026805221,0.028385561381432448,0.0164844079011613,0.002954740923924834,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-22,0.023028736217919284,0.004871660375050015,0.00016460166434484824,0.001964988127797942,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-23,-0.017535126081692307,-0.009389740349839032,0.0004039074358918007,0.0013375542588892884,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-26,-0.015968403178731112,0.01767309545118165,0.0002617795091991562,0.0027586224390796607,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-27,-0.010585676841217093,-0.03364909138490595,-0.007820882442348815,-0.0035609402891163705,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-28,-0.0023752174310226162,0.01172167611598687,-0.004463130008544995,8.917822273712993e-05,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,0.008726590133451385,-0.002371355154399752,-0.0008935062382669589,0.0006240249812485355,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,-0.02130709244341455,-0.013288279275374515,-0.0032247689990145888,0.0015138700072770985,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-03,0.023997616700476045,0.014142615081290085,-0.0033114503568877672,-0.002583865651048052,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-04,-0.005185720615212881,-0.003040960245161451,-0.033842313920437475,-0.0006246932513176746,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-05,-0.00101334242753445,-0.001619279298432367,-0.0013023833495444707,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-06,0.006400560843744755,0.009487737205109384,-0.009474832623221362,-0.004742526002206168,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-07,-0.001075124414809177,-0.017047220120699234,0.0018002952247582237,0.004474680815122004,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10,0.016866504298953748,0.007654807256732587,0.002289494767575387,-0.005551590189593337,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-11,0.00019830122020237468,-0.01343461334773537,-0.005262520554305865,-0.007571014082144697,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-12,-0.013976933024649885,-0.01029335171075,0.0015792751380095207,-0.004261305691251242,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-13,-0.02106481762523773,-0.0025410490607910346,0.0021972606781488326,0.00453268838774683,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-14,0.004371293074952802,-0.007366334935201931,-0.005934120159624268,-0.007900154596116992,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-17,-0.0018418095864516815,-0.0043469738476563154,0.0041113719224548295,0.002549395899600206,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,0.008701618467668051,0.04216762340893863,0.0055929979279565455,-0.0017292382010997889,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-19,0.005804160183066965,0.003032890202741478,0.005262463056089518,-0.0005466970523407899,,,,,,,,,,,,,,,,,,,,,,,,
